stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9022014021444001,Smedseröd,58.364031,11.807649,0,9021014021444000,A
9022014021444002,Smedseröd,58.364033,11.807717,0,9021014021444000,B
9022014021449002,Kråkeröd,58.412091,11.735372,0,9021014021449000,B
9022014021450001,Hogstorp,58.398409,11.750455,0,9021014021450000,A
9022014021450002,Hogstorp,58.399120,11.749465,0,9021014021450000,B
9022014021451001,Tåkene,58.401282,11.745756,0,9021014021451000,A
9022014021451002,Tåkene,58.401441,11.745656,0,9021014021451000,B
9022014021452001,Skredsviksvägen,58.393688,11.758199,0,9021014021452000,A
9022014021452002,Skredsviksvägen,58.394652,11.756844,0,9021014021452000,B
9022014021452003,Skredsviksvägen,58.391986,11.760530,0,9021014021452000,C
9022014021454001,Hogstorps skog,58.385012,11.768392,0,9021014021454000,A
9022014021454002,Hogstorps skog,58.385933,11.767469,0,9021014021454000,B
9022014021455001,Röane,58.379029,11.776691,0,9021014021455000,A
9022014021455002,Röane,58.379580,11.776076,0,9021014021455000,B
9022014021456001,Hogstorps skola,58.399356,11.751327,0,9021014021456000,A
9022014021460001,Fränneröd,58.419240,11.728800,0,9021014021460000,A
9022014021460002,Fränneröd,58.419038,11.729350,0,9021014021460000,B
9022014021461001,Hålan,58.413509,11.732826,0,9021014021461000,A
9022014021461002,Hålan,58.414169,11.732953,0,9021014021461000,B
9022014021462001,Kalsås,58.408275,11.736925,0,9021014021462000,A
9022014021462002,Kalsås,58.408673,11.736682,0,9021014021462000,B
9022014021469001,Hogstorp västra,58.391850,11.755184,0,9021014021469000,A
9022014021470001,Hogstorp E6,58.392576,11.756487,0,9021014021470000,A
9022014021470002,Hogstorp E6,58.393148,11.757427,0,9021014021470000,B
9022014021490001,Unda,58.329875,11.824162,0,9021014021490000,A
9022014021491001,Sunningevägen,58.338717,11.832051,0,9021014021491000,A
9022014021491002,Sunningevägen,58.338780,11.832045,0,9021014021491000,B
9022014021492001,Rimnersbadet,58.356272,11.951232,0,9021014021492000,A
9022014021493001,Rimnersvallen,58.355989,11.949529,0,9021014021493000,A
9022014021502001,Lyckorna,58.214153,11.908902,0,9021014021502000,A
9022014021502002,Lyckorna,58.214151,11.908817,0,9021014021502000,B
9022014021503001,Anfasteröd,58.206162,11.903331,0,9021014021503000,A
9022014021503002,Anfasteröd,58.206125,11.903266,0,9021014021503000,B
9022014021506001,Hummervägen,58.203080,11.904808,0,9021014021506000,A
9022014021506002,Hummervägen,58.203261,11.904878,0,9021014021506000,B
9022014021510001,Ljungskile station,58.224200,11.921145,0,9021014021510000,1
9022014021510002,Ljungskile station,58.224212,11.921246,0,9021014021510000,2
9022014021510003,Ljungskile station,58.224598,11.920480,0,9021014021510000,3
9022014021510014,Ljungskile station,58.224537,11.919480,0,9021014021510000,14
9022014021510015,Ljungskile station,58.224549,11.919207,0,9021014021510000,15
9022014021510081,Ljungskile station,58.222898,11.921173,0,9021014021510000,81
9022014021510082,Ljungskile station,58.225386,11.920736,0,9021014021510000,82
9022014021511011,Ljungskile station (buss),58.224839,11.919318,0,9021014021511000,11
9022014021511012,Ljungskile station (buss),58.224764,11.918830,0,9021014021511000,12
9022014021511013,Ljungskile station (buss),58.224671,11.919043,0,9021014021511000,13
9022014021511014,Ljungskile station (buss),58.224551,11.919309,0,9021014021511000,14
9022014021511015,Ljungskile station (buss),58.224603,11.918861,0,9021014021511000,15
9022014021511016,Ljungskile station (buss),58.224634,11.919387,0,9021014021511000,16
9022014021512001,Lyckornamotet,58.213656,11.916234,0,9021014021512000,A
9022014021512002,Lyckornamotet,58.213555,11.916124,0,9021014021512000,B
9022014021515001,Oskarsberg,58.230103,11.916595,0,9021014021515000,A
9022014021515002,Oskarsberg,58.230200,11.916502,0,9021014021515000,B
9022014021516001,Kärr,58.233335,11.917950,0,9021014021516000,A
9022014021516002,Kärr,58.231934,11.917970,0,9021014021516000,B
9022014021520001,Rosenvägen,58.216368,11.922471,0,9021014021520000,A
9022014021524001,Ljungskileskolan,58.220595,11.921100,0,9021014021524000,A
9022014021524002,Ljungskileskolan,58.220513,11.921056,0,9021014021524000,B
9022014021524003,Ljungskileskolan,58.220339,11.920918,0,9021014021524000,C
9022014021524004,Ljungskileskolan,58.220229,11.920842,0,9021014021524000,D
9022014021525001,Hälle,58.214640,11.927202,0,9021014021525000,A
9022014021525002,Hälle,58.214134,11.927467,0,9021014021525000,B
9022014021526001,Åsvägen,58.212803,11.928195,0,9021014021526000,A
9022014021527001,Krokusvägen,58.218442,11.919396,0,9021014021527000,A
9022014021527002,Krokusvägen,58.218349,11.919267,0,9021014021527000,B
9022014021530001,Restenässkolan,58.232490,11.877998,0,9021014021530000,A
9022014021530002,Restenässkolan,58.231746,11.878080,0,9021014021530000,B
9022014021531001,Restenäs norra,58.235075,11.877498,0,9021014021531000,A
9022014021531002,Restenäs norra,58.235072,11.877362,0,9021014021531000,B
9022014021532001,Saltverket,58.230335,11.878460,0,9021014021532000,A
9022014021532002,Saltverket,58.230315,11.878343,0,9021014021532000,B
9022014021533001,Höjenlid,58.226981,11.877630,0,9021014021533000,A
9022014021533002,Höjenlid,58.226897,11.877536,0,9021014021533000,B
9022014021534001,Krokens väg,58.225337,11.882835,0,9021014021534000,A
9022014021534002,Krokens väg,58.225386,11.881893,0,9021014021534000,B
9022014021535001,Ulvesund,58.224519,11.888699,0,9021014021535000,A
9022014021535002,Ulvesund,58.224455,11.889028,0,9021014021535000,B
9022014021537001,Strandbadet,58.228487,11.902952,0,9021014021537000,A
9022014021537002,Strandbadet,58.228454,11.903040,0,9021014021537000,B
9022014021539001,Ljungskile rastplats,58.231109,11.909522,0,9021014021539000,A
9022014021539002,Ljungskile rastplats,58.231088,11.909388,0,9021014021539000,B
9022014021540001,Strand södra,58.249525,11.862725,0,9021014021540000,A
9022014021540002,Strand södra,58.249461,11.862696,0,9021014021540000,B
9022014021541001,Strandön,58.252727,11.860651,0,9021014021541000,A
9022014021541002,Strandön,58.253369,11.860424,0,9021014021541000,B
9022014021542001,Osebacken,58.256493,11.858068,0,9021014021542000,A
9022014021542002,Osebacken,58.255971,11.858421,0,9021014021542000,B
9022014021543001,Ranneberg,58.260436,11.850692,0,9021014021543000,A
9022014021543002,Ranneberg,58.260399,11.850644,0,9021014021543000,B
9022014021544001,Strandskogen,58.246575,11.863378,0,9021014021544000,A
9022014021544002,Strandskogen,58.246411,11.863273,0,9021014021544000,B
9022014021545001,Strandskogen södra,58.244471,11.863717,0,9021014021545000,A
9022014021545002,Strandskogen södra,58.244452,11.863651,0,9021014021545000,B
9022014021546001,Restenäsön,58.240674,11.869012,0,9021014021546000,A
9022014021546002,Restenäsön,58.240439,11.869357,0,9021014021546000,B
9022014021547001,Stjärnevik,58.238631,11.873675,0,9021014021547000,A
9022014021547002,Stjärnevik,58.238584,11.873594,0,9021014021547000,B
9022014021548001,Arödsvägen,58.235973,11.917006,0,9021014021548000,A
9022014021548002,Arödsvägen,58.234923,11.917438,0,9021014021548000,B
9022014021550001,Aröds korsväg,58.240143,11.913644,0,9021014021550000,A
9022014021550002,Aröds korsväg,58.239097,11.914263,0,9021014021550000,B
9022014021552001,Nordhem,58.242352,11.911713,0,9021014021552000,A
9022014021552002,Nordhem,58.242051,11.911893,0,9021014021552000,B
9022014021553001,Solbo,58.244626,11.909862,0,9021014021553000,A
9022014021553002,Solbo,58.244227,11.910084,0,9021014021553000,B
9022014021554001,Höggeröd,58.252061,11.904782,0,9021014021554000,A
9022014021554002,Höggeröd,58.251269,11.905090,0,9021014021554000,B
9022014021556001,Stinneröd,58.258662,11.902723,0,9021014021556000,A
9022014021556002,Stinneröd,58.257904,11.902601,0,9021014021556000,B
9022014021557001,Vägeryr,58.262448,11.900209,0,9021014021557000,A
9022014021557002,Vägeryr,58.263831,11.897956,0,9021014021557000,B
9022014021570001,Skafteröd,58.196856,11.922474,0,9021014021570000,A
9022014021570002,Skafteröd,58.196197,11.924949,0,9021014021570000,B
9022014021571001,Ljungskogsvägen,58.201944,11.914679,0,9021014021571000,A
9022014021571002,Ljungskogsvägen,58.200561,11.915463,0,9021014021571000,B
9022014021571003,Ljungskogsvägen,58.201108,11.914326,0,9021014021571000,C
9022014021572001,Änghagen,58.207582,11.914088,0,9021014021572000,A
9022014021572002,Änghagen,58.206174,11.914193,0,9021014021572000,B
9022014021575001,Högen,58.192546,11.936463,0,9021014021575000,A
9022014021575002,Högen,58.192550,11.936242,0,9021014021575000,B
9022014021577001,Vägeryr västra,58.262450,11.893285,0,9021014021577000,A
9022014021585001,Backa,58.180860,11.960388,0,9021014021585000,A
9022014021585002,Backa,58.179084,11.960931,0,9021014021585000,B
9022014021586001,Pettersborg,58.164474,11.968232,0,9021014021586000,A
9022014021586002,Pettersborg,58.164266,11.968165,0,9021014021586000,B
9022014021587001,Solvik,58.154770,11.972510,0,9021014021587000,A
9022014021587002,Solvik,58.154694,11.972346,0,9021014021587000,B
9022014021593001,Stora Brannseröd,58.168793,11.893043,0,9021014021593000,A
9022014021593002,Stora Brannseröd,58.168622,11.892667,0,9021014021593000,B
9022014021595001,Gusserödsvägen,58.182275,11.900799,0,9021014021595000,A
9022014021595002,Gusserödsvägen,58.182290,11.900696,0,9021014021595000,B
9022014021596001,Renateberg,58.183603,11.903304,0,9021014021596000,A
9022014021596002,Renateberg,58.183642,11.903045,0,9021014021596000,B
9022014021597001,Brattefors,58.189530,11.911263,0,9021014021597000,A
9022014021597002,Brattefors,58.189601,11.911223,0,9021014021597000,B
9022014021608002,Torkelsröd södra,58.300363,11.898974,0,9021014021608000,B
9022014021609001,Grohed norra,58.299368,11.897576,0,9021014021609000,A
9022014021609002,Grohed norra,58.299508,11.898913,0,9021014021609000,B
9022014021610001,Grohed,58.298575,11.897116,0,9021014021610000,A
9022014021610002,Grohed,58.299054,11.898355,0,9021014021610000,B
9022014021611001,Grohed station,58.301854,11.905963,0,9021014021611000,A
9022014021611002,Grohed station,58.301221,11.904328,0,9021014021611000,B
9022014021612001,Torkelsröd,58.303829,11.910691,0,9021014021612000,A
9022014021612002,Torkelsröd,58.303267,11.909015,0,9021014021612000,B
