stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9022014008570030,Garaget Majorna,57.687993,11.910271,0,9021014008570000,30
9022014008573030,Kungssten Vändslinga,57.680419,11.900479,0,9021014008573000,30
9022014008575030,Långedrag Vändslinga,57.667438,11.853834,0,9021014008575000,30
9022014008580030,Sahlgrenska Norra Vändslinga,57.683524,11.957653,0,9021014008580000,30
9022014008580031,Sahlgrenska Norra Vändslinga,57.683828,11.957930,0,9021014008580000,31
9022014008580032,Sahlgrenska Norra Vändslinga,57.683778,11.957733,0,9021014008580000,32
9022014008582030,Slottsskogsvallen,57.674626,11.939039,0,9021014008582000,30
9022014008583030,Vagnhallen Slottsskogen DEPÅ,57.679654,11.943649,0,9021014008583000,30
9022014008585030,Vagnhallen Majorna DEPÅ,57.688404,11.910907,0,9021014008585000,30
9022014008587030,Vagnhallen Rantorget DEPÅ,57.707972,11.995649,0,9021014008587000,30
9022014008589030,Vagnhallen Ringön DEPÅ,57.721149,11.959214,0,9021014008589000,30
9022014008589031,Vagnhallen Ringön DEPÅ,57.721884,11.961723,0,9021014008589000,31
9022014008590030,Älvsborgsplan,57.686286,11.918421,0,9021014008590000,A
9022014008590031,Älvsborgsplan,57.686079,11.918757,0,9021014008590000,B
9022014008590032,Älvsborgsplan,57.686398,11.918579,0,9021014008590000,C
9022014008590033,Älvsborgsplan,57.686052,11.918407,0,9021014008590000,D
9022014009100001,Angered Garaget,57.789088,12.045402,0,9021014009100000,A
9022014009100002,Angered Garaget,57.789085,12.045268,0,9021014009100000,B
9022014009100003,Angered Garaget,57.788754,12.045715,0,9021014009100000,C
9022014009101001,Depå Grimbo,57.739910,11.944025,0,9021014009101000,A
9022014009102001,Depå Terminal G,57.712712,11.975070,0,9021014009102000,A
9022014009103030,Arendal Volvo Depå,57.696002,11.820720,0,9021014009103000,30
9022014009420001,Kalvemossen,57.676942,12.040093,0,9021014009420000,A
9022014009420002,Kalvemossen,57.676854,12.040151,0,9021014009420000,B
9022014011210001,Hälsö hamn,57.731787,11.654846,0,9021014011210000,A
9022014011210002,Hälsö hamn,57.731876,11.655124,0,9021014011210000,B
9022014011210003,Hälsö hamn,57.731822,11.655482,0,9021014011210000,C
9022014011211001,Västeräng,57.735768,11.649688,0,9021014011211000,A
9022014011211002,Västeräng,57.735884,11.649644,0,9021014011211000,B
9022014011212001,Hälsö södra,57.730586,11.653596,0,9021014011212000,A
9022014011212002,Hälsö södra,57.730826,11.653860,0,9021014011212000,B
9022014011213001,Burö färjeläge,57.743823,11.642269,0,9021014011213000,A
9022014011213002,Burö färjeläge,57.744271,11.641858,0,9021014011213000,B
9022014011310001,Öckerö färjeläge,57.710088,11.657572,0,9021014011310000,A
9022014011310002,Öckerö färjeläge,57.711006,11.657957,0,9021014011310000,B
9022014011310003,Öckerö färjeläge,57.710826,11.658276,0,9021014011310000,C
9022014011310004,Öckerö färjeläge,57.710714,11.658455,0,9021014011310000,D
9022014011311001,Öckerö hamn,57.708532,11.656187,0,9021014011311000,A
9022014011311002,Öckerö hamn,57.707651,11.655496,0,9021014011311000,B
9022014011311003,Öckerö hamn,57.708339,11.654677,0,9021014011311000,C
9022014011313001,Norgård,57.711403,11.646819,0,9021014011313000,A
9022014011313002,Norgård,57.711298,11.646896,0,9021014011313000,B
9022014011314001,Solhöjden,57.708904,11.652223,0,9021014011314000,A
9022014011314002,Solhöjden,57.708850,11.652228,0,9021014011314000,B
9022014011317001,Västervägen,57.708625,11.641014,0,9021014011317000,A
9022014011317002,Västervägen,57.708644,11.641079,0,9021014011317000,B
9022014011318001,Olvonvägen,57.713792,11.635546,0,9021014011318000,A
9022014011318002,Olvonvägen,57.713747,11.635550,0,9021014011318000,B
9022014011319001,Kärrsviksvägen,57.713392,11.642839,0,9021014011319000,A
9022014011319002,Kärrsviksvägen,57.713328,11.642778,0,9021014011319000,B
9022014011320001,Öckerö kyrka,57.707406,11.643528,0,9021014011320000,A
9022014011320002,Öckerö kyrka,57.707519,11.643047,0,9021014011320000,B
9022014011321001,Sörgårdsvägen,57.706043,11.647030,0,9021014011321000,A
9022014011321002,Sörgårdsvägen,57.706335,11.645844,0,9021014011321000,B
9022014011322001,Ekelundsvägen,57.705042,11.650330,0,9021014011322000,A
9022014011322002,Ekelundsvägen,57.705005,11.650618,0,9021014011322000,B
9022014011323001,Kanndalen,57.701180,11.646707,0,9021014011323000,A
9022014011323002,Kanndalen,57.701756,11.646721,0,9021014011323000,B
9022014011326001,Björkvägen,57.731770,11.680811,0,9021014011326000,A
9022014011331001,Intaget,57.715081,11.655012,0,9021014011331000,A
9022014011331002,Intaget,57.715136,11.655057,0,9021014011331000,B
9022014011332001,Blåbärsvägen,57.719593,11.654293,0,9021014011332000,A
9022014011332002,Blåbärsvägen,57.720561,11.653195,0,9021014011332000,B
9022014011333001,Propellerfabriken,57.722288,11.650499,0,9021014011333000,A
9022014011333002,Propellerfabriken,57.723298,11.650288,0,9021014011333000,B
9022014011410001,Hönö kyrka,57.690864,11.646150,0,9021014011410000,A
9022014011411001,Gårda,57.691931,11.650131,0,9021014011411000,A
9022014011412001,Rödvägen,57.693121,11.651297,0,9021014011412000,A
9022014011413001,Lapposandsvägen,57.694110,11.646555,0,9021014011413000,A
9022014011414001,Ringvägen,57.687980,11.644856,0,9021014011414000,A
9022014011415001,Hönö hotell,57.685034,11.643266,0,9021014011415000,A
9022014011417001,Hönö Klåva,57.682422,11.644414,0,9021014011417000,A
9022014011422001,Hönö Röd,57.695832,11.642988,0,9021014011422000,A
9022014011430001,Hönö färjeläge,57.698688,11.665675,0,9021014011430000,A
9022014011430002,Hönö färjeläge,57.698701,11.665808,0,9021014011430000,B
9022014011430003,Hönö färjeläge,57.698668,11.665945,0,9021014011430000,C
9022014011430004,Hönö färjeläge,57.698901,11.665924,0,9021014011430000,D
9022014011430005,Hönö färjeläge,57.698594,11.666875,0,9021014011430000,E
9022014011430023,Hönö färjeläge,57.698970,11.665128,0,9021014011430000,X
9022014011431001,Hönö norra,57.699556,11.647160,0,9021014011431000,A
9022014011431002,Hönö norra,57.699004,11.648369,0,9021014011431000,B
9022014011431003,Hönö norra,57.698015,11.648041,0,9021014011431000,C
9022014011440001,Östra hamnen,57.684032,11.650223,0,9021014011440000,A
9022014011441001,Bustaden,57.684298,11.658220,0,9021014011441000,A
9022014011441002,Bustaden,57.684224,11.658496,0,9021014011441000,B
9022014011442001,Brevik,57.683158,11.661682,0,9021014011442000,A
9022014011442002,Brevik,57.683059,11.661707,0,9021014011442000,B
9022014011443001,Vipekärr,57.688151,11.657076,0,9021014011443000,A
9022014011443002,Vipekärr,57.687705,11.658242,0,9021014011443000,B
9022014011444001,Västra Gärdet,57.696614,11.654181,0,9021014011444000,A
9022014011444002,Västra Gärdet,57.696638,11.654413,0,9021014011444000,B
9022014011445001,Hedens by,57.694237,11.654064,0,9021014011445000,A
9022014011446002,Hönö heden,57.694687,11.658471,0,9021014011446000,B
9022014011447002,Hönö kyrkogård,57.687563,11.660689,0,9021014011447000,B
9022014011448002,Åsvägen,57.690169,11.662010,0,9021014011448000,B
9022014011510001,Fotö,57.672955,11.654869,0,9021014011510000,A
9022014011520001,Söö,57.672730,11.659973,0,9021014011520000,A
9022014011608001,Gerts garage,57.736794,11.676653,0,9021014011608000,A
9022014011609001,Skarvik,57.733686,11.673997,0,9021014011609000,A
9022014011611001,Hagen,57.734581,11.675562,0,9021014011611000,A
9022014011612001,Västergård,57.737392,11.678564,0,9021014011612000,A
9022014011613001,Equmeniakyrkan,57.732893,11.682170,0,9021014011613000,A
9022014011614001,Mossvägen,57.733292,11.676487,0,9021014011614000,A
9022014011615001,Idrottsplatsen,57.728375,11.682298,0,9021014011615000,A
9022014011615002,Idrottsplatsen,57.728352,11.682435,0,9021014011615000,B
9022014011616001,Gröneviks färjeläge,57.712912,11.689425,0,9021014011616000,A
9022014011617001,Framnäs,57.711956,11.684843,0,9021014011617000,A
9022014011617002,Framnäs,57.711719,11.684378,0,9021014011617000,B
9022014011623001,Solhem,57.724266,11.683280,0,9021014011623000,A
9022014011623002,Solhem,57.724206,11.683386,0,9021014011623000,B
9022014011624001,Bäckevägen,57.736278,11.679608,0,9021014011624000,A
9022014011710001,Kalvsund,57.710818,11.683251,0,9021014011710000,A
9022014011750001,Grötö färjeläge,57.694916,11.686334,0,9021014011750000,A
9022014011810001,Hyppeln,57.758275,11.616509,0,9021014011810000,A
9022014011850001,Rörö,57.771405,11.621101,0,9021014011850000,A
9022014011910001,Knippla,57.748456,11.654953,0,9021014011910000,A
9022014012110001,Mölndals Innerstad,57.656369,12.017106,0,9021014012110000,A1
9022014012110002,Mölndals Innerstad,57.656251,12.017082,0,9021014012110000,A2
9022014012110003,Mölndals Innerstad,57.656099,12.017094,0,9021014012110000,A3
9022014012110004,Mölndals Innerstad,57.656311,12.016943,0,9021014012110000,A4
9022014012110005,Mölndals Innerstad,57.656549,12.016755,0,9021014012110000,A5
9022014012110006,Mölndals Innerstad,57.656805,12.016533,0,9021014012110000,A6
9022014012110007,Mölndals Innerstad,57.656688,12.016912,0,9021014012110000,A7
9022014012110008,Mölndals Innerstad,57.656486,12.017129,0,9021014012110000,A8
9022014012110010,Mölndals Innerstad,57.656274,12.017298,0,9021014012110000,A9
9022014012110011,Mölndals Innerstad,57.656027,12.017502,0,9021014012110000,10
9022014012110012,Mölndals Innerstad,57.655366,12.017272,0,9021014012110000,L
9022014012110013,Mölndals Innerstad,57.658021,12.015913,0,9021014012110000,M
9022014012110014,Mölndals Innerstad,57.657862,12.016027,0,9021014012110000,N
9022014012110015,Mölndals Innerstad,57.657685,12.016159,0,9021014012110000,O
9022014012110030,Mölndals Innerstad,57.654348,12.017540,0,9021014012110000,30
9022014012110031,Mölndals Innerstad,57.654332,12.017625,0,9021014012110000,31
9022014012110070,Mölndals Innerstad,57.656805,12.016550,0,9021014012110000,70
9022014012112001,Storgatan,57.655877,12.011127,0,9021014012112000,A
9022014012112002,Storgatan,57.655999,12.011351,0,9021014012112000,B
9022014012112003,Storgatan,57.655337,12.011121,0,9021014012112000,C
9022014012112004,Storgatan,57.655337,12.011473,0,9021014012112000,D
9022014012114021,Mölndals bro,57.655273,12.017917,0,9021014012114000,B1
9022014012114022,Mölndals bro,57.655468,12.018152,0,9021014012114000,B2
9022014012114023,Mölndals bro,57.655391,12.018343,0,9021014012114000,B3
9022014012114024,Mölndals bro,57.655585,12.018562,0,9021014012114000,B4
9022014012114025,Mölndals bro,57.655571,12.018714,0,9021014012114000,B5
9022014012114026,Mölndals bro,57.655703,12.018971,0,9021014012114000,B6
9022014012114027,Mölndals bro,57.655688,12.019123,0,9021014012114000,B7
9022014012114028,Mölndals bro,57.655802,12.019365,0,9021014012114000,B8
9022014012114029,Mölndals bro,57.655941,12.019924,0,9021014012114000,B9
9022014012114031,Mölndals bro,57.655225,12.017384,0,9021014012114000,C1
9022014012115001,Mölndal station,57.657362,12.018466,0,9021014012115000,1
9022014012115002,Mölndal station,57.656361,12.018699,0,9021014012115000,2
9022014012115003,Mölndal station,57.656348,12.018516,0,9021014012115000,3
9022014012115030,Mölndal station,57.655950,12.019940,0,9021014012115000,30
9022014012115031,Mölndal station,57.655089,12.016942,0,9021014012115000,31
9022014012115081,Mölndal station,57.651392,12.020633,0,9021014012115000,81
9022014012115082,Mölndal station,57.660974,12.017247,0,9021014012115000,82
9022014012120001,Jungfruplatsen,57.659250,12.002146,0,9021014012120000,A
9022014012120002,Jungfruplatsen,57.659953,12.001467,0,9021014012120000,B
9022014012128001,Skyttegatan,57.650834,12.050100,0,9021014012128000,A
9022014012128002,Skyttegatan,57.651132,12.050562,0,9021014012128000,B
9022014012130001,Mölndals sjukhus,57.661572,12.013676,0,9021014012130000,A
9022014012130002,Mölndals sjukhus,57.661437,12.013654,0,9021014012130000,B
9022014012130003,Mölndals sjukhus,57.661499,12.013984,0,9021014012130000,C
9022014012130004,Mölndals sjukhus,57.660997,12.013657,0,9021014012130000,D
9022014012130011,Mölndals sjukhus,57.660056,12.010732,0,9021014012130000,K
9022014012130023,Mölndals sjukhus,57.661325,12.012707,0,9021014012130000,X
9022014012140001,Lackarebäck,57.666507,12.011392,0,9021014012140000,A
9022014012140002,Lackarebäck,57.665188,12.011886,0,9021014012140000,B
9022014012140003,Lackarebäck,57.666415,12.011685,0,9021014012140000,C
9022014012140004,Lackarebäck,57.665272,12.011611,0,9021014012140000,D
9022014012140005,Lackarebäck,57.665857,12.010154,0,9021014012140000,E
9022014012141001,Krokslätts Fabriker,57.672117,12.009957,0,9021014012141000,A
9022014012141002,Krokslätts Fabriker,57.671919,12.009957,0,9021014012141000,B
9022014012141003,Krokslätts Fabriker,57.672017,12.010301,0,9021014012141000,C
9022014012141004,Krokslätts Fabriker,57.671134,12.010172,0,9021014012141000,D
9022014012145002,Sörgårdsskolan,57.677547,11.994461,0,9021014012145000,B
9022014012145003,Sörgårdsskolan,57.677616,11.993985,0,9021014012145000,C
9022014012151001,Krokslätts södra industriområde,57.676420,12.007573,0,9021014012151000,A
9022014012151002,Krokslätts södra industriområde,57.676320,12.007900,0,9021014012151000,B
9022014012153001,Bergfotsgatan,57.667480,12.016847,0,9021014012153000,A
9022014012153002,Bergfotsgatan,57.667608,12.016937,0,9021014012153000,B
9022014012154001,Flöjelbergsgatan,57.664832,12.019245,0,9021014012154000,A
9022014012154002,Flöjelbergsgatan,57.664815,12.020051,0,9021014012154000,B
9022014012155001,Ekgatan,57.661767,12.017333,0,9021014012155000,A
9022014012155002,Ekgatan,57.661735,12.017503,0,9021014012155000,B
9022014012156001,Sörgärdesgatan,57.671910,12.014889,0,9021014012156000,A
9022014012156002,Sörgärdesgatan,57.671957,12.014969,0,9021014012156000,B
9022014012160001,Kvarnbyskolan,57.656648,12.022867,0,9021014012160000,A
9022014012162001,Gamla torget,57.656567,12.026680,0,9021014012162000,A
9022014012162002,Gamla torget,57.656321,12.026549,0,9021014012162000,B
9022014012163001,Mölndals stadsmuseum,57.657986,12.032383,0,9021014012163000,A
9022014012163002,Mölndals stadsmuseum,57.657407,12.033335,0,9021014012163000,B
